Y01-AA-FOR-0098 Project Stock Record ,,,,,,,,,,,
,,,,,,,,,,,
PART NUMBER,DESCRIPTION,QUANTITY,BATCH/LOT/ DATE CODE,DELIVERY NUMBER,DATE RECEIVED,JOB/PROJECT REF.,LOCATION,COMMENTS,PURCHASE ORDER NUMBER,LINK TO DELIVERY NOTE ,
CZE184,60 x 100 TRUNKING,8,N/A,174-298740,23/09/2015,A54,A54,8 x 2M LENGTHS,PO001231,,
CZE184,60 x 100 TRUNKING,6,N/A,174-298740,25/09/2015,A54,A54,6 x 2M LENGTHS,PO001231,,
A54-AEE,AEE,1,N/A,3973/36547,22/10/2015,A54,A54,,PO001135R,Y:\DOC000.pdf,
NSYSFEB,LIFTING EYES M12,10,N/A,0185827672,22/10/2015,A70,A70,,PO001259,Y:\DOC003.pdf,
NSYBLKH123,PADLOCKING SYSTEM,23, 2015/12,0185827672,22/10/2015,A70,A70,,PO001259,U:\DOC003.pdf,
NSYSPF8200,FRONT PLINTH 200 X 800,17,N/A,0185827672,22/10/2015,A70,A70,,PO001259,U:\DOC002.pdf,
NSY2SP208,2 STD SIDE PANELS 2000 X 800,5,N/A,0185827672,22/10/2015,A70,A70,,PO001259,U:\DOC001.pdf,
NSYMP208,GALVANISED MOUNT PLATE ,1,2015 34,0185827672,22/10/2015,A70,A70,,PO001259,U:\DOC001.pdf,
SC203  ,SLOTTED CHANNEL,6,N/A,174-302809,26/10/2015,A54,A54,6 x 3M LENGTHS,PO001264,U:\DOC004.pdf,
NSYSFEB,LIFTING EYES M12,13,N/A,0185834481,27/10/2015,A70,A70,,PO001259,U:\DOC005.pdf,
NSY2SP208,2 STD SIDE PANELS 2000 X 800,12,2015/42,0185845341,03/11/2015,A70,A70,,PO001259,U:\DOC008.pdf,
NSY2SP208,2 STD SIDE PANELS 2000 X 800,6,2015/42,0185845341,03/11/2015,A70,A70,,PO001259,U:\DOC009.pdf,
NSYMP208,GALVANISED MOUNT PLATE ,7,N/A,0185845341,03/11/2015,A70,A70,,PO001259,U:\DOC009.pdf,
NSYMP208,GALVANISED MOUNT PLATE ,15,2015/42,0185845341,03/11/2015,A70,A70,,PO001259,U:\DOC010.pdf,
NSYSPF8200,FRONT PLINTH 200 X 800,6,2015/40,0185845341,03/11/2015,A70,A70,,PO001259,U:\DOC011.pdf,
NSYSPS8200,4 PLINTH SIDE PANELS 200 X 800,23,N/A,0185845341,03/11/2015,A70,A70,,PO001259,U:\DOC011.pdf,
NSYEC882,2 ENTRY CAB GLAND PLATE,23,N/A,0185849454,05/11/2015,A70,A70,,PO001259,U:\DOC016.pdf,
NSYRSWH180,HINGES 180 SWING RACK ,23,2015/31,0185849454,05/11/2015,A70,A70,,PO001259,U:\DOC016.pdf,
NSYRSW45,SWING RACK SIDE 19 45U,10,2015/41  ,0185849454,05/11/2015,A70,A70,RETURNED TO SCHNEIDER 02/03/16,PO001259,U:\DOC017.pdf,
NSYRSW45,SWING RACK SIDE 19 45U,10,N/A,0185849454,05/11/2015,A70,A70,RETURNED TO SCHNEIDER 02/03/16,PO001259,U:\DOC018.pdf,
10450054,50 X 75 GREY TRUNKING,32M,N/A,573723,05/11/2015,A54,A54,,PO00,U:\DOC020.pdf,
GTB 44,UNITRUNK LID,2,N/A,174-304263,05/11/2015,A54,A54,,PO001277,U:\DOC019.pdf,
 TK 44  ,UNITRUNK 4 x 4,1,N/A,174-304263,05/11/2015,A54 ,A54,,PO001277,U:\DOC019.pdf,
 BE 44,UNITRUNK B/END,2,N/A,174-304263,05/11/2015,A54,A54,,PO001277,U:\DOC019.pdf,
A54-AA-DET-0010,RACK FRAME,6,N/A,131008,06/11/2015,A54,A54,,PO001250,U:\DOC021.pdf,
