,,,,,,,,,,,,
,,,,,,,,,,,,
Y01-AA-FOR-0100 Workshop Stock Record ,,,,,,,,,,,,
,,,,,,,,,,,,
PART NUMBER,DESCRIPTION,QUANTITY,BATCH/LOT/ DATE.CODE,DELIVERY NO.,DATE RECEIVED,JOB/PROJECT REF.,LOCATION,COMMENTS,REMAINING QTY,P.O NUMBER ,UNIT VALUE,TOTAL VALUE
1SNA115831R0400,D6/8 ST1-RS IP20 TERMINAL,160,,14875589,25/01/2016,A70,AA 001,,160,,£,£
1SNA115831R0400,D6/8 ST1-RS IP20 TERMINAL,138,,14875589,25/01/2016,A70,AA 002,,138,,£,£
1SNA215266R0100,FEM 8T6 END PLATE,120,,14875589,25/01/2016,A70,AA 003,,120,,£,£
1SNA215266R0100,FEM 8T6 END PLATE,99,,14875589,25/01/2016,A70,AA 004,,99,,£,£
ISNK900652R0000,SLIDING LINK,97,,14875589,25/01/2016,A70,AA 005,,97,,£,£
3005707054,E/UK END STOP,77,,174-310022,13/01/2016,A70,AA 006,,77,,£,£
ER2.5MM,IMO ER 2.5MM TERMINAL,50,,,,A54,AA 007,,50,,£,£
NSYTRV22,SCHNEIDER TERMINAL,10,,,,,AA 008,,10,,£,£
NSYTRA AB35,SCHNEIDER TERMINAL,10,,,,,AA 009,,10,,£,£
3044173,UT10 - PE TERMINAL,2,,,,,AA 010,,2,,£,£
1123000000,TRS 24VDC 1C0 AU,49,,,,,AA 011,,49,,£,£
485560000,HP1 ADP1,25,,,,,AA 012,,25,,£,£
?,HP2 ADP2,21,,,,,AA 013,,21,,£,£
0485760000,HP3 ADP3,80,,,,,AA 014,,80,,£,£
0211360000,AP SAKR BE END PLATE,101,,,,,AA015,,101,,£,£
?,AP SAK4 - 10 END PLATE,5,,,,,AA 016,,5,,£,£
0270460000,AP RSF3 END PLATE,211,,,,,AA 017,,211,,£,£
1631930000,SCHT5 S  LABEL CARRIER,156,,,,,AA 018,,156,,£,£
0292460000,SCHT5 LABEL CARRIER,80,,,,,AA 019,,80,,£,£
0292460000,SCHT5 LABEL CARRIER,80,,,,,AA 020,,80,,£,£
0292460000,SCHT5 LABEL CARRIER,66,,,,,AA 021,,66,,£,£
,,,,,,,AA 022,,,,£,£
9501160000,RSF3/35 TERMINAL,250,,,,,AA 023,,250,,£,£
9501160000,RSF3/35 TERMINAL,250,,,,,AA 024,,250,,£,£
9501160000,RSF3/35 TERMINAL,250,,,,,AA 025,,250,,£,£
9501160000,RSF3/35 TERMINAL,116,,,,,AA 026,,116,,£,£
,,,,,,,AA 027,,,,£,£
0538960000,DK4D TS35/053896 PA TERMINAL,26,,,,,AA 028,,26,,£,£
