tid,distance,hastighet
0.1,0,0
0.2,0,0
0.3,0,0
0.4,1.701011378,4.252528445
0.5,3.794563843,7.589127686
0.6,6.149810367,10.24968394
0.7,8.897597977,12.71085425
0.8,11.12199747,13.90249684
0.9,13.60809102,15.12010114
1,16.35587863,16.35587863
1.1,18.84197219,17.12906562
1.2,21.19721871,17.66434893
1.3,23.4216182,18.01662939
1.4,25.51517067,18.22512191
1.5,28.00126422,18.66750948
1.6,30.09481669,18.80926043
1.7,32.31921618,19.01130364
1.8,34.67446271,19.26359039
1.9,37.02970923,19.48932065
2,39.12326169,19.56163085
2.1,41.21681416,19.62705436
2.2,43.96460177,19.9839099
2.3,46.71238938,20.30973451
2.4,49.19848293,20.49936789
2.5,52.2079646,20.88318584
2.6,53.77812895,20.68389575
2.7,53.77812895,19.91782554
2.8,53.77812895,19.20647463
2.9,53.77812895,18.5441824
3,53.77812895,17.92604298
3.1,53.77812895,17.34778353
3.2,53.77812895,16.8056653
3.3,53.77812895,16.29640271
3.4,53.77812895,15.81709675
3.5,53.77812895,15.3651797
3.6,53.77812895,14.93836915
3.7,52.73135272,14.25171695
3.8,50.50695322,13.29130348
3.9,48.1517067,12.34659146
4,45.53476612,11.38369153
4.1,42.65613148,10.40393451
4.2,39.38495575,9.377370417
4.3,36.63716814,8.520271661
4.4,34.15107459,7.761607861
4.5,31.53413401,7.007585335
4.6,28.7863464,6.257901391
4.7,25.6460177,5.45659951
4.8,22.89823009,4.770464602
